status_slucaja,confidence,izvor_snimka,model,napomena,povrsina_px,odnos_stranica,popunjenost,procenjena_povrsina_m2,parcela_id,broj_parcele,katastarska_opstina,inspektor_id,ima_dozvolu,preklapa_objekat_id
Podudara se sa legalnim objektom,0.95,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,261.0,1.1,0.54,62.06,320,ADICA-TEST-25,Adica,1,True,180
Podudara se sa legalnim objektom,0.95,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,362.0,1.33,0.62,86.67,345,ADICA-TEST-50,Adica,1,True,205
Podudara se sa legalnim objektom,0.95,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,270.5,1.32,0.57,65.67,357,ADICA-TEST-62,Adica,1,True,236
Kandidat - bespravni objekat,0.95,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,136.5,1.75,0.54,33.37,,,,1,False,
Kandidat - bespravni objekat,0.89,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,175.5,1.11,0.44,42.62,,,,1,False,
Podudara se sa legalnim objektom,0.868,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,1788.5,1.32,0.42,425.69,332,ADICA-TEST-37,Adica,1,True,156
Podudara se sa legalnim objektom,0.912,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,276.5,1.13,0.46,67.35,296,ADICA-TEST-1,Adica,1,True,233
Podudara se sa legalnim objektom,0.933,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,142.0,1.5,0.48,35.05,377,ADICA-TEST-82,Adica,1,True,237
Podudara se sa legalnim objektom,0.95,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,270.0,1.56,0.68,65.31,377,ADICA-TEST-82,Adica,1,True,237
Podudara se sa legalnim objektom,0.95,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,457.0,2.56,0.55,109.24,323,ADICA-TEST-28,Adica,1,True,183
